Server,Level,name,Fully Qualified Name,Ignore,Merged Description,Description,Status,In Use,Business Unit,App Link,Redline DA Access Granted
GSFS-FC-SQL-Q01,Secondary,scs_warehouse_gsfs,GSFS-FC-SQL-Q01.scs_warehouse_gsfs,,SCS Application,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,scs_warehouse_master,GSFS-FC-SQL-Q01.scs_warehouse_master,,SCS Application,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,SSISDB,GSFS-FC-SQL-Q01.SSISDB,,SSIS Packages,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,tempdb,GSFS-FC-SQL-Q01.tempdb,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-P03,Secondary,DealerIncentives,GSFS-FC-SQL-P03.DealerIncentives,,,,NULL,,,,Yes
GSFS-QASQL-02,Primary,DealerIncentives,GSFS-QASQL-02.DealerIncentives,,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,GSFS_IPS,GSFS-FC-SQL-Q02.GSFS_IPS,,IPS,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,GSFSSecurity,GSFS-FC-SQL-Q02.GSFSSecurity,,SSIS Packages,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,I3_IC,GSFS-FC-SQL-Q02.I3_IC,,Call Center,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,master,GSFS-FC-SQL-Q02.master,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,model,GSFS-FC-SQL-Q02.model,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,msdb,GSFS-FC-SQL-Q02.msdb,Yes,,,ONLINE,,,,Yes
GSFS-SQLAOC03,Primary,DealerIncentives,GSFS-SQLAOC03.DealerIncentives,,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,P_EDFSecurity,GSFS-FC-SQL-Q02.P_EDFSecurity,,SSIS Packages,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,SSA,GSFS-FC-SQL-Q02.SSA,,DBA purpose,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,tempdb,GSFS-FC-SQL-Q02.tempdb,Yes,,,ONLINE,,,,Yes
GSFS-SQLDEV02,Dev,DealerIncentives,GSFS-SQLDEV02.DealerIncentives,,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q03,Primary,DBA,GSFS-FC-SQL-Q03.DBA,,DBA purpose,,ONLINE,,,,Yes
GSFS-FC-SQL-Q03,Primary,master,GSFS-FC-SQL-Q03.master,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q03,Primary,model,GSFS-FC-SQL-Q03.model,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q03,Primary,msdb,GSFS-FC-SQL-Q03.msdb,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q03,Primary,ReportServer,GSFS-FC-SQL-Q03.ReportServer,,SCS Reports,,ONLINE,,,,Yes
GSFS-FC-SQL-Q03,Primary,ReportServerTempDB,GSFS-FC-SQL-Q03.ReportServerTempDB,,SCS Reports,,ONLINE,,,,Yes
GSFS-FC-SQL-Q03,Primary,SSISDB,GSFS-FC-SQL-Q03.SSISDB,,SSIS Packages,,ONLINE,,,,Yes
GSFS-FC-SQL-Q03,Primary,tempdb,GSFS-FC-SQL-Q03.tempdb,Yes,,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,AppSecurity,GSFS-QASQL-02.AppSecurity,,"OMEGA, Incentives,Customer Portal,Executive Dashboard, Reinsurance & All internal applications",,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,DBA,GSFS-QASQL-02.DBA,,DBA purpose,,ONLINE,,,,Yes
GSFS-SQLDEV02,Dev,DealerIncentives_4394eb08-ddc9-4332-83c0-5a967373bcd5,GSFS-SQLDEV02.DealerIncentives_4394eb08-ddc9-4332-83c0-5a967373bcd5,,,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,distribution,GSFS-QASQL-02.distribution,,,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,GSFS_App,GSFS-QASQL-02.GSFS_App,,"OMEGA, Incentives,Customer Portal,Executive Dashboard, Reinsurance & All internal applications",,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,GSFS_ARG,GSFS-QASQL-02.GSFS_ARG,,Report Portal & Executive Dashboard,,ONLINE,,,,Yes
GSFS-SQLDEV01,Dev,distribution,GSFS-SQLDEV01.distribution,,,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,GSFS_DW,GSFS-QASQL-02.GSFS_DW,,Data Warehouse & All internal applications,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,GSFS_IPS,GSFS-QASQL-02.GSFS_IPS,,IPS,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,GSFS_OMEGA,GSFS-QASQL-02.GSFS_OMEGA,,OMEGA,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,GSFS_Report,GSFS-QASQL-02.GSFS_Report,,SSRS Reports,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,GSFS_Sandbox,GSFS-QASQL-02.GSFS_Sandbox,,SSRS Reports,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,GSFS_Stage,GSFS-QASQL-02.GSFS_Stage,,SSRS Reports,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,master,GSFS-QASQL-02.master,Yes,,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,model,GSFS-QASQL-02.model,Yes,,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,msdb,GSFS-QASQL-02.msdb,Yes,,,ONLINE,,,,Yes
GSFS-SQLDEV02,Dev,GSFS.Omega.Core.Claims.Database,GSFS-SQLDEV02.GSFS.Omega.Core.Claims.Database,,,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,ReportServer,GSFS-QASQL-02.ReportServer,,SCS Reports,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,ReportServerTempDB,GSFS-QASQL-02.ReportServerTempDB,,SCS Reports,,ONLINE,,,,Yes
GSFS-QASQL-02,Primary,scs_auto_qa_prior_month,GSFS-QASQL-02.scs_auto_qa_prior_month,,Month End,,ONLINE,,,,Yes
